lat,long,accuracy,formatted_address,address_type,status,index
NA,NA,NA,NA,NA,ZERO_RESULTS,10557
30.467068,-97.79714,establishment,"13858 US-183, Austin, TX 78750, USA","establishment,lodging,point_of_interest",OK,10558
30.4492396,-97.7878176,doctor,"13435 US Hwy. 183 N #311, Austin, TX 78750, USA","doctor,establishment,health,point_of_interest",OK,10559
30.2688801,-97.7374729,route,"Neches St, Austin, TX 78701, USA",route,OK,10560
NA,NA,NA,NA,NA,ZERO_RESULTS,10561
30.3648933,-97.709931,establishment,"1412 Norseman Terrace, Austin, TX 78758, USA","establishment,point_of_interest,school",OK,10562
30.2978623,-97.6872269,route,"Manor Rd, Austin, TX, USA",route,OK,10563
30.33695569999999,-97.69206179999999,establishment,"1044 Norwood Park Blvd, Austin, TX 78753, USA","establishment,point_of_interest",OK,10564
30.2067971,-97.74041079999999,route,"S Pleasant Valley Rd, Austin, TX, USA",route,OK,10565
30.2702993,-97.74851799999999,bar,"610 Nueces St, Austin, TX 78701, USA","bar,establishment,point_of_interest",OK,10566
30.1989389,-97.8873407,route,"Cir C Ranch On Slaughter Creek: Trail 12, Austin, TX 78739, USA",route,OK,10567
30.4276447,-97.7584462,establishment,"12424 Research Blvd, Austin, TX 78759, USA","establishment,lodging,point_of_interest",OK,10568
30.097319,-97.818636,establishment,"14605 Old San Antonio Rd, Buda, TX 78610, USA","establishment,point_of_interest",OK,10569
30.1766028,-97.7490243,route,"S Pleasant Valley Rd, Austin, TX, USA",route,OK,10570
30.2664878,-97.74212949999999,establishment,"408 Brazos St, Austin, TX 78701, USA","establishment,food,meal_delivery,point_of_interest,restaurant",OK,10571
30.1533589,-97.745076,route,"Panadero Dr, Austin, TX 78747, USA",route,OK,10572
30.4089378,-97.70324959999999,doctor,"2200 Park Bend Dr #300, Austin, TX 78758, USA","doctor,establishment,health,point_of_interest",OK,10573
30.2312825,-97.7163695,route,"E Riverside Dr, Austin, TX, USA",route,OK,10574
30.2264752,-97.7435182,route,"Timber Ridge Rd, Austin, TX 78741, USA",route,OK,10575
30.2400111,-97.7361899,route,"Woodland Ave, Austin, TX, USA",route,OK,10576
NA,NA,NA,NA,NA,ZERO_RESULTS,10577
NA,NA,NA,NA,NA,ZERO_RESULTS,10578
NA,NA,NA,NA,NA,ZERO_RESULTS,10579
30.3064816,-97.68004839999999,route,"Manor Rd, Austin, TX, USA",route,OK,10580
NA,NA,NA,NA,NA,ZERO_RESULTS,10581
30.450467,-97.784274,electronics_store,"13401 Pond Springs Rd, Austin, TX 78729, USA","electronics_store,establishment,point_of_interest,store",OK,10582
NA,NA,NA,NA,NA,ZERO_RESULTS,10583
NA,NA,NA,NA,NA,ZERO_RESULTS,10584
NA,NA,NA,NA,NA,ZERO_RESULTS,10585
30.2635428,-97.7435386,establishment,"111 Congress Ave # 1400, Austin, TX 78701, USA","establishment,lawyer,point_of_interest",OK,10586
NA,NA,NA,NA,NA,ZERO_RESULTS,10587
30.2602426,-97.7387655,route,"Davis St, Austin, TX 78701, USA",route,OK,10588
30.257836,-97.739052,route,"River St, Austin, TX 78701, USA",route,OK,10589
30.2700702,-97.735231,route,"E 10th St, Austin, TX, USA",route,OK,10590
NA,NA,NA,NA,NA,ZERO_RESULTS,10591
NA,NA,NA,NA,NA,ZERO_RESULTS,10592
30.4409061,-97.77992689999999,establishment,"13087 Research Blvd, Austin, TX 78750, USA","establishment,lodging,point_of_interest",OK,10593
NA,NA,NA,NA,NA,ZERO_RESULTS,10594
NA,NA,NA,NA,NA,ZERO_RESULTS,10595
30.429102,-97.7474518,establishment,"12300 Riata Trace Pkwy, Austin, TX 78727, USA","establishment,point_of_interest,real_estate_agency",OK,10596
30.2879573,-97.74264869999999,establishment,"504 W 24th St, Austin, TX 78705, USA","establishment,point_of_interest,real_estate_agency",OK,10597
30.257836,-97.739052,route,"River St, Austin, TX 78701, USA",route,OK,10598
30.286095,-97.73123609999999,establishment,"2350 Robert Dedman Dr, Austin, TX 78712, USA","establishment,point_of_interest",OK,10599
NA,NA,NA,NA,NA,ZERO_RESULTS,10600
30.2708975,-97.7247239,route,"Angelina St, Austin, TX 78702, USA",route,OK,10601
NA,NA,NA,NA,NA,ZERO_RESULTS,10602
NA,NA,NA,NA,NA,ZERO_RESULTS,10603
NA,NA,NA,NA,NA,ZERO_RESULTS,10604
30.2367541,-97.76280109999999,establishment,"2809 S 1st St, Austin, TX 78704, USA","establishment,food,point_of_interest,restaurant",OK,10605
30.2250853,-97.7734158,establishment,"621 Radam Ln #200, Austin, TX 78745, USA","establishment,health,point_of_interest",OK,10606
30.17548799999999,-97.799571,establishment,"8800 S 1st St, Austin, TX 78748, USA","establishment,point_of_interest",OK,10607
30.2273243,-97.76953619999999,doctor,"3828 S 1st St, Austin, TX 78704, USA","doctor,establishment,health,point_of_interest",OK,10608
30.19939919999999,-97.78320839999999,route,"Eberhart Ln, Austin, TX 78745, USA",route,OK,10609
30.2224893,-97.7641591,route,"S Congress Ave, Austin, TX, USA",route,OK,10610
30.2309976,-97.7596614,establishment,"3200 S Congress Ave, Austin, TX 78704, USA","establishment,florist,point_of_interest,store",OK,10611
NA,NA,NA,NA,NA,ZERO_RESULTS,10612
30.2457922,-97.7535525,route,"W Mary St, Austin, TX 78704, USA",route,OK,10613
30.1842945,-97.781718,route,"S Congress Ave, Austin, TX, USA",route,OK,10614
NA,NA,NA,NA,NA,ZERO_RESULTS,10615
NA,NA,NA,NA,NA,ZERO_RESULTS,10616
30.1829688,-97.8474435,establishment,"3400 W Slaughter Ln, Austin, TX 78748, USA","establishment,food,point_of_interest,restaurant",OK,10617
30.2221679,-97.74968179999999,establishment,"3600 S IH 35 Frontage Rd, Austin, TX 78704, USA","establishment,furniture_store,hardware_store,home_goods_store,point_of_interest,store",OK,10618
30.144849,-97.79039,establishment,"10701 S IH 35 Frontage Rd, Austin, TX 78747, USA","establishment,point_of_interest",OK,10619
30.467068,-97.79714,establishment,"13858 US-183, Austin, TX 78750, USA","establishment,lodging,point_of_interest",OK,10620
30.2447488,-97.7237387,route,"S Lakeshore Blvd, Austin, TX 78741, USA",route,OK,10621
30.2430427,-97.71863180000001,establishment,"2410-2518 S Lakeshore Blvd, Austin, TX 78741, USA","establishment,parking,point_of_interest",OK,10622
30.240319,-97.718043,establishment,"1109 S Pleasant Valley Rd, Austin, TX 78741, USA","establishment,point_of_interest",OK,10623
30.2459949,-97.7767145,route,"Bluebonnet Ln, Austin, TX 78704, USA",route,OK,10624
30.256165,-97.76086800000002,establishment,"1200 Treadwell St, Austin, TX 78704, USA","establishment,point_of_interest",OK,10625
NA,NA,NA,NA,NA,ZERO_RESULTS,10626
30.230265,-97.799746,establishment,"4477 S Lamar Blvd, Austin, TX 78745, USA","establishment,movie_theater,point_of_interest",OK,10627
NA,NA,NA,NA,NA,ZERO_RESULTS,10628
30.2609407,-97.78995929999999,establishment,"1501 S MoPac Expy, Austin, TX 78746, USA","establishment,point_of_interest",OK,10629
NA,NA,NA,NA,NA,ZERO_RESULTS,10630
NA,NA,NA,NA,NA,ZERO_RESULTS,10631
NA,NA,NA,NA,NA,ZERO_RESULTS,10632
NA,NA,NA,NA,NA,ZERO_RESULTS,10633
NA,NA,NA,NA,NA,ZERO_RESULTS,10634
30.2706348,-97.73425119999999,route,"Sabine St, Austin, TX 78701, USA",route,OK,10635
30.1642173,-97.74243109999999,route,"Salt Springs Dr, Austin, TX, USA",route,OK,10636
30.3684642,-97.6352946,route,"Samsung Blvd, Austin, TX 78754, USA",route,OK,10637
30.2885107,-97.7474592,establishment,"2401 San Gabriel St, Austin, TX 78705, USA","establishment,point_of_interest",OK,10638
30.2714903,-97.7388594,route,"San Jacinto Blvd, Austin, TX, USA",route,OK,10639
30.265259,-97.73828999999999,establishment,"500 E 4th St, Austin, TX 78701, USA","establishment,lodging,point_of_interest",OK,10640
NA,NA,NA,NA,NA,ZERO_RESULTS,10641
30.2849185,-97.7340567,establishment,"Austin, TX 78712, USA","establishment,point_of_interest,university",OK,10642
30.26194019999999,-97.7339818,route,"San Marcos St, Austin, TX, USA",route,OK,10643
30.2606487,-97.7254827,establishment,"1700 E 4th St, Austin, TX 78702, USA","establishment,point_of_interest",OK,10644
30.2236217,-97.77446409999999,doctor,"4315 James Casey St # 3, Austin, TX 78745, USA","doctor,establishment,health,point_of_interest",OK,10645
NA,NA,NA,NA,NA,ZERO_RESULTS,10646
30.4239394,-97.711086,route,"W Parmer Ln, Austin, TX, USA",route,OK,10647
30.3345678,-97.7493154,route,"Northland Dr, Austin, TX, USA",route,OK,10648
30.2411996,-97.81759489999999,establishment,"4424 S MoPac Expy, Austin, TX 78735, USA","establishment,lodging,point_of_interest",OK,10649
30.2131025,-97.8285985,route,"W William Cannon Dr, Austin, TX, USA",route,OK,10650
30.4306809,-97.7758069,route,"Queens Way, Austin, TX 78759, USA",route,OK,10651
30.2765691,-97.70233139999999,route,"E 12th St, Austin, TX, USA",route,OK,10652
30.271556,-97.68473250000001,route,"Ledesma Rd, Austin, TX 78721, USA",route,OK,10653
30.2621906,-97.7030432,route,"Lyons Rd, Austin, TX 78702, USA",route,OK,10654
30.1651114,-97.73077769999999,route,"Janes Ranch Rd, Austin, TX 78744, USA",route,OK,10655
30.3511512,-97.7336,establishment,"7525 Burnet Rd, Austin, TX 78757, USA","establishment,food,point_of_interest,restaurant",OK,10656
30.4058014,-97.7112825,establishment,"2600 Gracy Farms Ln, Austin, TX 78758, USA","establishment,point_of_interest,real_estate_agency",OK,10657
30.2685104,-97.7655961,route,"Lou Neff Rd, Austin, TX 78746, USA",route,OK,10658
NA,NA,NA,NA,NA,ZERO_RESULTS,10659
30.3955689,-97.65326549999999,establishment,"1200 E Parmer Ln, Austin, TX 78753, USA","establishment,point_of_interest,real_estate_agency",OK,10660
30.3993027,-97.67214720000001,route,"W Yager Ln, Austin, TX 78753, USA",route,OK,10661
NA,NA,NA,NA,NA,ZERO_RESULTS,10662
NA,NA,NA,NA,NA,ZERO_RESULTS,10663
NA,NA,NA,NA,NA,ZERO_RESULTS,10664
30.282909,-97.6977131,church,"3417 E Martin Luther King Jr Blvd, Austin, TX 78721, USA","church,establishment,place_of_worship,point_of_interest",OK,10665
