ADDRESS,form_address,lat,long
"6600 S IH 35 SVRD NB, Austin, TX","S IH 35 Frontage Rd, Austin, TX, USA",30.2018198,-97.76186299999999
"9400 N IH 35 SVRD SB, Austin, TX","9400 N Interstate Hwy 35, Austin, TX 78753, USA",30.359003,-97.68886549999999
"10100 RESEARCH BLVD SVRD NB, Austin, TX","13087 Research Blvd, Austin, TX 78750, USA",30.4409061,-97.77992689999999
"8500 N LAMAR BLVD, Austin, TX","8500 N Lamar Blvd, Austin, TX 78753, USA",30.3536439,-97.7058428
"1100 GUNTER ST, Austin, TX","1100 Gunter St, Austin, TX 78702, USA",30.2631622,-97.6997222
"1700 NELMS DR, Austin, TX","1700 Nelms Dr, Austin, TX 78752, USA",30.1930381,-97.7658921
"2200 E OLTORF ST, Austin, TX","2200 E Oltorf St, Austin, TX 78741, USA",30.2304362,-97.7316259
"5000 OLD MANOR RD, Austin, TX","5000 Old Manor Rd, Austin, TX 78723, USA",30.2988747,-97.6914018
"8000 GESSNER DR, Austin, TX","8000 Gessner Dr, Austin, TX 78753, USA",30.3442247,-97.7023725
"1700 BURTON DR, Austin, TX","1700 Burton Dr, Austin, TX 78741, USA",30.2377808,-97.7279277
"8800 S IH 35 SVRD NB, Austin, TX","8800 N Interstate Hwy 35, Austin, TX 78753, USA",30.3523179,-97.6926844
"9600 N LAMAR BLVD, Austin, TX","9600 N Lamar Blvd, Austin, TX 78753, USA",30.365660599999998,-97.69595819999999
"E 6TH ST / TRINITY ST, Austin, TX","Trinity St, Austin, TX, USA",30.267068,-97.739335
"100 W SLAUGHTER LN, Austin, TX","100 W Slaughter Ln, Austin, TX 78748, USA",30.16712159999999,-97.786861
"1400 W WELLS BRANCH PKWY, Austin, TX","1400 Wells Branch Pkwy, Pflugerville, TX 78660, USA",30.4415469,-97.66280809999999
"1700 E OLTORF ST, Austin, TX","1700 E Oltorf St, Austin, TX 78741, USA",30.2334389,-97.73799819999999
"9900 S IH 35 SVRD SB, Austin, TX","9900 S IH 35 Frontage Rd, Austin, TX 78748, USA",30.1540411,-97.7941972
"2200 WILLOW CREEK DR, Austin, TX","2200 Willow Creek Dr, Austin, TX 78741, USA",30.2306852,-97.7306797
"12500 TECH RIDGE BLVD, Austin, TX","12500 Tech Ridge Blvd, Austin, TX 78753, USA",30.399964400000002,-97.6613496
"6200 LOYOLA LN, Austin, TX","6200 Loyola Ln, Austin, TX 78724, USA",30.3029683,-97.6496185
"7100 ED BLUESTEIN BLVD SVRD SB, Austin, TX","Ed Bluestein Blvd, Austin, TX, USA",30.2834586,-97.6660934
"800 CONGRESS AVE, Austin, TX","800 Congress Ave, Austin, TX 78701, USA",30.2702192,-97.74221879999999
"12600 HYMEADOW DR, Austin, TX","12600 Hymeadow Dr, Austin, TX 78750, USA",30.4576357,-97.7933791
"9000 GALEWOOD DR, Austin, TX","9000 Galewood Dr, Austin, TX 78758, USA",30.3672917,-97.715751
"3900 N IH 35 SVRD NB, Austin, TX","N Interstate 35 Frontage Rd, Texas, USA",30.7470006,-97.6357433
"800 FAIRFIELD DR, Austin, TX","800 Fairfield Dr, Austin, TX 78758, USA",30.3554905,-97.702699
"9300 NORTHGATE BLVD, Austin, TX","9300 Northgate Blvd, Austin, TX 78758, USA",30.3722111,-97.7156626
"9900 QUAIL BLVD, Austin, TX","9900 Quail Blvd, Austin, TX 78758, USA",30.3730026,-97.7008568
"1900 WILLOW CREEK DR, Austin, TX","1900 Willow Creek Dr, Austin, TX 78741, USA",30.2343109,-97.72824980000001
"6900 BRODIE LN, Austin, TX","6900 Brodie Ln, Austin, TX 78745, USA",30.2163545,-97.83084629999999
"11700 METRIC BLVD, Austin, TX","11700 Metric Blvd, Austin, TX 78758, USA",30.3963168,-97.7068349
"1900 E OLTORF ST, Austin, TX","1900 E Oltorf St, Austin, TX 78741, USA",30.2316043,-97.73483809999999
"2600 GUADALUPE ST, Austin, TX","2600 Guadalupe St, Austin, TX 78705, USA",30.29066559999999,-97.74161629999999
